Density,n,Wand,AIC,BIC,BR,Knuth,SC,RIH,RMG-B,RMG-R,TS,L2CV,KLCV
1.0,50.0,0.1646132205335492,0.19421407463244952,0.19467759125399328,0.1901424935720261,0.1914781286579903,0.18900243265081765,0.2023633931237894,0.3197594838286172,0.2172235445861325,0.2342363248897134,0.20943877278696996,0.2259308554554804
1.0,200.0,0.10574226149228558,0.12249852105727546,0.12783995060302822,0.1225949867754573,0.12072345211128452,0.11865851797327727,0.139186197559858,0.17207583468041912,0.1500878480257315,0.11866446028766589,0.14580754673922292,0.16779165810901892
1.0,1000.0,0.06240334853741143,0.06951680729851778,0.08095172825919893,0.0713269373189984,0.07431253315200118,0.07405835354413769,0.09078870208563368,0.10256129730819477,0.09611456165287313,0.0676721431477821,0.0900495380236364,0.10326894724437148
1.0,5000.0,0.03770222493251852,0.0404006523371465,0.05081110207883919,0.0415998175669516,0.04461444715771,0.043443782477371955,0.0583929944057991,0.06282953263484374,0.05958450848607154,0.039341784079835684,0.05841033348659659,0.06276761221792372
1.0,25000.0,0.022217936045215655,0.02352022880583966,0.031812348695666036,0.024107802203011834,0.026823323534263113,0.026894172550709083,0.03669794526012523,0.03706277332072127,0.03669104195730819,0.022167754949328797,0.03520083484766303,0.037464981222947655
2.0,50.0,0.3087197132510574,0.3082135337437567,0.20868982164464314,0.2176982294780768,0.21567865342867565,0.244315537408647,0.19656288982914805,0.32961447911994646,0.19783930262668462,0.25869462610805655,0.32493404048632013,0.3283229608177813
2.0,200.0,0.19671334307870392,0.1540114063968286,0.0972682454342287,0.10835257610474601,0.09910644560848957,0.10444564369463825,0.09692380293074905,0.13430494040384572,0.09589725803155234,0.11733406701656866,0.23239699246814904,0.2728332135442817
2.0,1000.0,0.1169693945937627,0.0687627262502537,0.04341921528320518,0.04975393252603364,0.04397651202252064,0.044632251472766664,0.043744749082855215,0.05178200050112862,0.04393134983599545,0.052622489557124744,0.2053496582194669,0.23922782157884442
2.0,5000.0,0.0714112071943399,0.029044196763897624,0.018551451714007638,0.020609377049286528,0.01873713728354537,0.019171517632576962,0.018478009548465485,0.02359027817724314,0.018471659636046328,0.023909737756496234,0.12104364953444927,0.13647112601879477
2.0,25000.0,0.04422429810604876,0.013622620658847862,0.008500037873421892,0.009578819591354516,0.008842776355362427,0.009062398238491766,0.00842350820302297,0.008409684275230521,0.008409684275230521,0.01040313066720381,0.06439557016514193,0.06915730197163446
3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,50.0,0.1948049640641643,0.2245509127450224,0.2519699691172599,0.25274876099111376,0.22747599216990977,0.23227212334673683,0.23508401139277593,0.32477768731532725,0.248155991998072,0.2044473999601144,0.3371645788818569,0.38046782377788824
4.0,200.0,0.14787587399478935,0.1628289786060852,0.202965615330095,0.18447152374843356,0.17727712759474198,0.1875184171260444,0.17341347224158096,0.21156802261257868,0.1825249159418595,0.1385295817923542,0.3536128418396697,0.36250760991534375
4.0,1000.0,0.10171442396577918,0.14603469157976046,0.17239810667134564,0.15215738203436582,0.1542985666233053,0.15734622746660024,0.14375223420800984,0.12499363929187966,0.127680088578928,0.11166702134394735,0.38633105966195014,0.3988340096520364
4.0,5000.0,0.06007904818451168,0.12166967268153972,0.16027617228337693,0.13645437940007302,0.14730600539274705,0.14438744958194205,0.08880617761095715,0.07407772821606011,0.0841382020599075,0.06239635183364878,0.2120077671732363,0.2939970468759459
4.0,25000.0,0.037357714213480095,0.06494228205876992,0.1568942591873119,0.06810513310234856,0.07159857293904916,0.07240513102901087,0.05031310481202766,0.04485262150065235,0.05439793642294934,0.03708888611095189,0.06130507058767168,0.055002705494842416
5.0,50.0,0.17286313917819718,0.19431337082708897,0.2021961040120644,0.20285972694603077,0.19332933251350812,0.19033760566346533,0.2119758079141958,0.2937867387458491,0.22681888991486177,0.21915836242305053,0.312918061114513,0.31313485384315987
5.0,200.0,0.11436237271816535,0.12823911574994498,0.15385775972010612,0.14316748790191533,0.13803635608671652,0.1385064472255011,0.15546209225614577,0.18968837851639053,0.166385967345137,0.13071058377107334,0.16715100137325783,0.1797184362563138
