Density,n,Wand,AIC,BIC,BR,Knuth,SC,RIH,RMG-B,RMG-R,TS,L2CV,KLCV
12.0,50.0,2.846,2.534,2.582,2.586,2.53,2.49,1.842,0.396,0.272,0.82,2.106,1.994
12.0,200.0,0.526,0.384,0.392,0.36,0.36,0.362,0.708,0.112,0.06,0.212,1.798,1.868
12.0,1000.0,0.524,1.72,0.198,1.08,0.684,0.268,0.0,0.044,0.002,0.002,1.93,1.48
12.0,5000.0,3.652,3.784,0.866,2.86,1.35,0.98,0.0,0.106,0.002,0.002,1.124,0.748
12.0,25000.0,16.588,8.876,1.502,7.492,2.96,1.934,0.0,0.054,0.014,0.002,2.55,1.408
13.0,50.0,4.708,5.412,5.526,5.524,5.428,5.378,5.642,4.492,5.43,3.356,5.398,5.856
13.0,200.0,5.01,5.584,4.762,5.136,5.414,5.38,3.0,1.232,0.802,0.588,5.368,4.78
13.0,1000.0,4.33,15.188,3.942,12.916,11.226,10.878,0.072,0.138,0.008,0.044,5.312,2.866
13.0,5000.0,16.696,42.412,12.32,36.552,25.872,25.232,0.0,0.12,0.016,0.006,2.53,1.356
13.0,25000.0,64.008,77.988,26.232,71.332,41.472,40.33,0.0,0.116,0.042,0.006,2.526,1.59
14.0,50.0,4.886,4.0,4.0,4.0,4.0,4.0,4.548,0.386,0.786,0.728,3.284,3.328
14.0,200.0,4.962,4.568,4.0,4.148,4.26,4.032,3.992,0.288,0.0,1.062,3.044,2.908
14.0,1000.0,4.884,5.194,5.182,5.194,5.194,5.194,4.0,0.034,0.0,1.378,3.3,3.008
14.0,5000.0,7.358,3.388,3.388,3.388,3.388,3.388,0.0,0.004,0.0,1.62,2.914,2.732
14.0,25000.0,11.128,5.914,5.914,5.914,5.914,5.914,0.0,0.004,0.0,2.332,1.886,1.65
15.0,50.0,2.142,2.07,2.114,2.124,2.108,2.084,2.232,1.85,1.844,1.824,3.126,3.462
15.0,200.0,2.372,3.648,1.37,1.86,2.528,2.756,1.826,1.89,1.842,1.484,2.41,2.06
15.0,1000.0,7.056,7.612,0.896,3.216,2.34,2.616,1.964,2.008,1.96,1.324,6.158,4.942
15.0,5000.0,17.35,7.138,0.052,1.78,0.38,0.384,1.894,1.75,1.738,0.482,10.352,8.478
15.0,25000.0,38.954,1.576,0.0,0.222,0.0,0.0,0.322,0.19,0.178,0.164,13.862,8.882
16.0,50.0,4.218,3.294,3.502,3.52,3.314,3.29,3.234,2.762,2.912,2.138,3.468,3.432
16.0,200.0,2.68,4.886,2.436,2.84,3.61,3.56,2.888,2.882,2.874,1.798,1.882,2.048
16.0,1000.0,7.692,14.472,3.706,12.306,11.216,11.548,1.878,1.522,1.524,1.192,5.608,4.554
16.0,5000.0,19.014,28.098,12.53,25.878,17.404,18.646,0.628,0.542,0.436,1.104,9.41,5.308
16.0,25000.0,44.898,28.788,28.602,28.694,28.602,28.602,0.0,0.014,0.008,0.79,12.858,5.526
