Density,n,Wand,AIC,BIC,BR,Knuth,SC,RIH,RMG-B,RMG-R,TS,L2CV,KLCV
1.0,50.0,0.26990326088356664,0.29767228539899115,0.30046556041944456,0.2965768425713888,0.29753114058905367,0.2916528123427955,0.30782588662733473,0.33341660127369926,0.32099280291381616,0.32494626961048134,0.31810445564796574,0.3127218060547491
1.0,200.0,0.16718003963123473,0.18539774374377685,0.1940503267041549,0.1872207413311822,0.1843179358655484,0.182929651648108,0.20483325971951372,0.22245928863045802,0.2179195449570969,0.18942041803995843,0.2172654921664166,0.2150139914036755
1.0,1000.0,0.09608712126031728,0.1044618265135709,0.11736567243211195,0.10604230591136361,0.10913092656014238,0.10941392601157868,0.128857432257212,0.13870661663832684,0.13617970909026103,0.12653505273166946,0.1298415081651293,0.12913663309243945
1.0,5000.0,0.05660646298762004,0.06011646165579063,0.07146635473801483,0.060647358377069464,0.06591780281263535,0.06580021367572998,0.08151854423106993,0.08541567975854888,0.08384467605144093,0.09228101078758874,0.08381949253697502,0.08210780710418379
1.0,25000.0,0.03351828449901017,0.035000114142003526,0.044065842217152915,0.035221052647619135,0.03874663516001473,0.03967160277963278,0.050938832465887325,0.052019644996594214,0.05124890290763767,0.06565674216316478,0.0499417432913314,0.050047019117394675
2.0,50.0,0.225585578084391,0.2387629363283498,0.19370441296436644,0.19659071109226506,0.19659339988892385,0.20743834001970943,0.19045149895749044,0.19426073124195417,0.18928251997410056,0.20416982669310213,0.23799340911101885,0.2436406854415608
2.0,200.0,0.12998918721177694,0.11714226470114378,0.09541903080415896,0.0992343867861571,0.09566061880598645,0.09745187582237472,0.095375809939626,0.09599412554434529,0.09499660790234904,0.102449477871684,0.1631016210866165,0.15886399404568327
2.0,1000.0,0.06996606949192084,0.052352932441973296,0.04289642005292254,0.04512303685253361,0.04301723931197613,0.04326296928617539,0.043010055934660577,0.04314435198819993,0.04306511357488906,0.04717031506070146,0.12834320612042474,0.1282600673501383
2.0,5000.0,0.03955746473082831,0.022441146675202535,0.018505250323492248,0.019229789191874944,0.01866954702328154,0.018874798060598105,0.01847467383894185,0.018601542929076027,0.018468326004865004,0.020462000547678022,0.07329947627215233,0.07075002049314018
2.0,25000.0,0.02342377351115009,0.010390811422999649,0.008449342540496497,0.008819674952780247,0.008561745523484026,0.008638841742198861,0.008423193182243561,0.008409370201258448,0.008409370201258448,0.0092695838685278,0.03777749529774885,0.03709150274170382
3.0,50.0,0.43257658760233003,0.446338352678982,0.44311915820394965,0.4438582070504872,0.40377023148963637,0.40674257645588646,0.3859858738041633,0.39073220155470717,0.3933844643820053,0.3161797886772929,0.49098395064995487,0.49509371278526026
3.0,200.0,0.336294431935312,0.3390728287442697,0.34838682259652476,0.34141134280978236,0.31582255179032237,0.3231659595343872,0.2970111513738653,0.26125255480747134,0.28633853479420146,0.20705897238542115,0.5365555197355201,0.5994726539984289
3.0,1000.0,0.2528345461401491,0.25375931036059474,0.2738520562080488,0.25536087195218066,0.24555834559629128,0.2578888231927962,0.22444576293364343,0.1605717202134679,0.19504688666299919,0.13581628576076332,0.5372507808504812,0.5711283449521007
3.0,5000.0,0.19233283191873018,0.19361892670728642,0.21773977313007514,0.1940104548607875,0.19504559086722673,0.20506011583414574,0.16713098392071374,0.10017549008844173,0.13268309507373338,0.09362925932478376,0.3980467853856956,0.39403010378356434
3.0,25000.0,0.14618248987212662,0.1481268805807807,0.1733742358067733,0.14824795299032545,0.15184230098808896,0.1595204541157262,0.12280287061727564,0.062015368299741615,0.09022787026659095,0.0647143152909597,0.18116133776044235,0.21468662745499428
4.0,50.0,0.36117631946963563,0.3490166350559398,0.3452242011438802,0.3455309883844655,0.32283556672677366,0.3335026540632687,0.33493226918548824,0.34555873058769676,0.33794412457575945,0.2842583697397843,0.5348043882705378,0.5329215307102846
4.0,200.0,0.26627568505661875,0.2311748492147816,0.23954493722128092,0.23211493296753605,0.22150759930021044,0.2364020988519165,0.22405210535067627,0.23243141531292114,0.23188529989026144,0.18323104268373128,0.6321644635003926,0.5758071372771608
4.0,1000.0,0.18784206246290716,0.16624055982926844,0.17800004156364949,0.16737677847137386,0.16553512143192425,0.17857215036752522,0.15865904218853052,0.14422113595559094,0.1498032249222589,0.12977506930414795,0.7595117671995588,0.7567396007304257
4.0,5000.0,0.12870629204114617,0.13628478603887248,0.15603561762420856,0.14210859112523933,0.141382607141858,0.14937636624205194,0.10429752922306987,0.08954267093277578,0.09543381844195115,0.08886808648358838,0.2602619584720308,0.3312863469037229
4.0,25000.0,0.09506566838473281,0.09129351526742577,0.15051905233671264,0.09277375256422918,0.10082891247976222,0.11649531870615391,0.06436389052049045,0.057971575179703284,0.06278137969782432,0.07618815628037863,0.08580842169524033,0.09620580120872214
5.0,50.0,0.3203120334770122,0.33356438346778394,0.3271171025077253,0.3270752973147984,0.32166330744452587,0.32061677335645844,0.3414197104565446,0.36341178828931486,0.3555540267812863,0.3158017327052291,0.47764966505957035,0.4771935872691245
5.0,200.0,0.20885212967683128,0.21800723573425299,0.2218325617798271,0.2142530252472742,0.2078857831651543,0.21150988621396505,0.23113194359487851,0.24926400672651283,0.24536860289249657,0.20544559161105908,0.2817321457646933,0.2787644493452295
5.0,1000.0,0.1285132027159321,0.12860126234555247,0.14217300638207034,0.12839696518433047,0.12893092593038655,0.1338946436503166,0.1459656633168488,0.15559654478921628,0.15362916041494779,0.13898473223029084,0.12501803107428205,0.12631844666038894
5.0,5000.0,0.079975797641059,0.07723458483887474,0.09137208382776699,0.07766368705427669,0.0801504587110101,0.08332305103999975,0.09305682388443909,0.09599905941332273,0.09585574607574648,0.09829887888042459,0.08135568413651188,0.08166174578521448
5.0,25000.0,0.0491792419076709,0.046303050040567034,0.05865288224332131,0.04653326927489502,0.050394263952887784,0.05464198720519771,0.05824970124542162,0.05828584634731235,0.05860558546688188,0.06859748187569245,0.05070124751774421,0.051484227842347796
6.0,50.0,0.3218969872062612,0.3843777574250474,0.34513873977243825,0.34680073914638765,0.3450668234457783,0.3309087833188357,0.3196411071160262,0.332131476100785,0.3253691587587536,0.31664418837790437,0.33088034715054443,0.33208178473742894
6.0,200.0,0.24829600453709677,0.27059969935624323,0.26719354122352423,0.2626856004717,0.2588635884463446,0.25177519871802867,0.2262573019082038,0.2286839862358956,0.2286182676549513,0.21145502869662866,0.27582626324725346,0.27425453204124894
6.0,1000.0,0.1939615621984859,0.19651093811327225,0.20420841680447577,0.19307603517414104,0.19063844170693436,0.1879829044490848,0.16191178226975145,0.14388600849958852,0.15303218278349953,0.13970564992240236,0.22695372361059554,0.22893456870283085
6.0,5000.0,0.15364536570593323,0.1465196989754704,0.15949947839866868,0.14443887062509408,0.14618638379834017,0.14314337645895425,0.1150276754131501,0.089287088239691,0.09987694059106433,0.09307538375168589,0.13746788071770533,0.1382331470939394
6.0,25000.0,0.12195453861190493,0.10980687294738843,0.1242003665834472,0.10908242827453803,0.11096370936965805,0.10931442276636613,0.08159981771321573,0.05553222669102026,0.06488255002288208,0.0619229930639825,0.09067787971727945,0.09117147666026959
7.0,50.0,0.33717298364975923,0.3556964137576116,0.35513537493138936,0.3526644421333945,0.34907738106206543,0.3430888955804921,0.3463265790807948,0.36309883971742807,0.349980897724561,0.370082573427534,0.4215761971169359,0.4120031260603018
7.0,200.0,0.2499826636330652,0.25494529640911684,0.2511482035861354,0.2482627963379247,0.24287913342622003,0.2419845505528315,0.2427087975467381,0.24862044359146804,0.24598533804447292,0.24505521038720013,0.28527855298057064,0.29607797818558024
7.0,1000.0,0.1686627749346205,0.1566558312740861,0.17181230184146107,0.15079564618879437,0.1473197591443952,0.15133420457306423,0.1744015177530158,0.1785352968009456,0.17699347850362138,0.13104486358359263,0.15738843932706853,0.16668228471157567
7.0,5000.0,0.09060171413612927,0.09391983484980448,0.11330226687275682,0.09383871830484637,0.09795301214161214,0.09573004274233078,0.1058423103407595,0.10862185164751753,0.10777463682832059,0.07273305963568882,0.09316847001246496,0.09471941486683176
7.0,25000.0,0.054547818492920466,0.055221508929269705,0.07083636227490293,0.0552112420782783,0.059834584771705154,0.06285544326056774,0.06685530864993554,0.06643336684394997,0.06617214973193952,0.04338997263716135,0.05763459220250378,0.05903041175086249
